grid_id,tile_id,has_osm_mask,pixels_updated,percent_updated
T10SGG_2018_8_2,T10SGG,True,26278,2.1797
T10SGG_2018_8_4,T10SGG,True,35985,2.9848
T10SFH_2018_8_6,T10SFH,True,24510,2.033
T10SGF_2018_9_6,T10SGF,True,26838,2.2261
T10SEH_2018_2_1,T10SEH,True,47132,3.9094
T10SGF_2018_0_0,T10SGF,True,22470,1.8638
T11SKV_2018_4_9,T11SKV,True,27012,2.2405
T10SEJ_2018_0_8,T10SEJ,True,37669,3.1245
T10SGG_2018_9_1,T10SGG,True,20424,1.6941
T11SLV_2018_5_0,T11SLV,True,27033,2.2423
T10SEJ_2018_2_9,T10SEJ,True,11937,0.9901
T10SGF_2018_9_7,T10SGF,True,11368,0.9429
T10SFH_2018_9_6,T10SFH,True,20194,1.675
T11SKV_2018_2_8,T11SKV,True,20290,1.683
T10SFH_2018_2_1,T10SFH,True,37885,3.1424
T11SKA_2018_0_0,T11SKA,True,25528,2.1174
T10SEJ_2018_3_7,T10SEJ,True,20271,1.6814
T10SGF_2018_7_4,T10SGF,True,24004,1.991
T11SKV_2018_3_8,T11SKV,True,43991,3.6489
T10SFH_2018_7_0,T10SFH,True,22874,1.8973
T10SFJ_2018_6_0,T10SFJ,True,21813,1.8093
T10SGF_2018_3_4,T10SGF,True,31009,2.5721
T11SKV_2018_4_3,T11SKV,True,18911,1.5686
T10SFH_2018_5_3,T10SFH,True,16285,1.3508
T10SFG_2018_1_4,T10SFG,True,78395,6.5025
T10SGG_2018_7_2,T10SGG,True,18611,1.5437
T10SGF_2018_3_2,T10SGF,True,33983,2.8188
T10SGF_2018_8_4,T10SGF,True,28866,2.3943
T10SGF_2018_8_9,T10SGF,True,29026,2.4076
T10SGF_2018_1_0,T10SGF,True,22548,1.8703
T10SGF_2018_0_5,T10SGF,True,84181,6.9825
T10SFH_2018_9_4,T10SFH,True,80151,6.6482
T10SEJ_2018_6_7,T10SEJ,True,21238,1.7616
T10SGF_2018_5_3,T10SGF,True,19205,1.593
T10SEJ_2018_7_7,T10SEJ,True,48081,3.9881
T10SEH_2018_3_9,T10SEH,True,58580,4.859
T10SEJ_2018_0_5,T10SEJ,True,16618,1.3784
T10SFG_2018_6_8,T10SFG,True,18806,1.5599
T10SGF_2018_4_4,T10SGF,True,29326,2.4325
T10SFG_2018_2_9,T10SFG,True,11441,0.949
T11SKA_2018_6_4,T11SKA,True,35381,2.9347
T10SEJ_2018_6_8,T10SEJ,True,26756,2.2193
T11SKV_2018_7_8,T11SKV,True,27402,2.2729
T10SEJ_2018_9_9,T10SEJ,True,22203,1.8416
T10SEJ_2018_1_9,T10SEJ,True,11566,0.9594
T11SKV_2018_1_6,T11SKV,True,21184,1.7571
T10SGF_2018_1_6,T10SGF,True,42784,3.5488
T10SFJ_2018_1_0,T10SFJ,True,11671,0.9681
T11SKA_2018_5_3,T11SKA,True,21311,1.7677
T10SGF_2018_4_7,T10SGF,True,35499,2.9445
T10SEJ_2018_9_8,T10SEJ,True,24046,1.9945
T10SFG_2018_3_4,T10SFG,True,19135,1.5872
T11SKV_2018_0_5,T11SKV,True,20151,1.6714
T10SGF_2018_4_3,T10SGF,True,44387,3.6817
T10SEH_2018_3_1,T10SEH,True,87073,7.2224
T10SFG_2018_5_6,T10SFG,True,19036,1.579
T11SKA_2018_7_8,T11SKA,True,100537,8.3391
T10SFH_2018_7_4,T10SFH,True,89541,7.4271
T10TEK_2018_5_6,T10TEK,True,40378,3.3492
T10SEJ_2018_8_8,T10SEJ,True,29971,2.486
T11SLV_2018_0_0,T11SLV,True,25838,2.1432
T10SFG_2018_3_6,T10SFG,True,43840,3.6364
T10SFJ_2018_7_1,T10SFJ,True,24911,2.0663
T10SGF_2018_0_2,T10SGF,True,10465,0.868
T11SLV_2018_8_3,T11SLV,True,28895,2.3967
T11SKA_2018_4_3,T11SKA,True,25270,2.096
T11SLV_2018_9_1,T11SLV,True,23821,1.9759
T10SFH_2018_4_4,T10SFH,True,41471,3.4399
T10SFH_2018_8_2,T10SFH,True,7720,0.6403
T10SGF_2018_4_8,T10SGF,True,36868,3.0581
T11SKV_2018_5_4,T11SKV,True,25298,2.0984
T10SGF_2018_0_6,T10SGF,True,32948,2.7329
T10SGF_2018_0_4,T10SGF,True,31294,2.5957
T11SKA_2018_1_2,T11SKA,True,35044,2.9068
T10SGF_2018_5_8,T10SGF,True,39181,3.2499
T10SGF_2018_2_4,T10SGF,True,26614,2.2075
T11SKA_2018_3_3,T11SKA,True,30134,2.4995
T10SGF_2018_2_3,T10SGF,True,25222,2.0921
T10SGF_2018_4_5,T10SGF,True,31095,2.5792
T10SEJ_2018_4_6,T10SEJ,True,18266,1.5151
T11SKV_2018_6_5,T11SKV,True,29928,2.4824
T10SGF_2018_2_5,T10SGF,True,48046,3.9852
T10SFG_2018_1_7,T10SFG,True,44414,3.684
T10SFH_2018_9_2,T10SFH,True,15803,1.3108
T10SGG_2018_9_4,T10SGG,True,32112,2.6636
T11SKA_2018_4_2,T11SKA,True,30096,2.4963
T10SGF_2018_3_1,T10SGF,True,18033,1.4958
T10SGF_2018_6_5,T10SGF,True,22624,1.8766
T11SKV_2018_3_7,T11SKV,True,26860,2.2279
T10SFG_2018_3_9,T10SFG,True,13606,1.1286
T11SLV_2018_8_2,T11SLV,True,38421,3.1869
T11SKA_2018_3_1,T11SKA,True,33210,2.7546
T10SFH_2018_4_0,T10SFH,True,37839,3.1386
T11SKA_2018_5_0,T11SKA,True,19265,1.598
T10SFG_2018_6_6,T10SFG,True,28090,2.33
T10SGG_2018_8_0,T10SGG,True,20258,1.6803
T10SFH_2018_7_3,T10SFH,True,22819,1.8927
T10SFG_2018_0_5,T10SFG,True,40281,3.3411
T10SFH_2018_6_1,T10SFH,True,40238,3.3376
T11SLV_2018_3_0,T11SLV,True,26682,2.2132
T10SGF_2018_2_0,T10SGF,True,15992,1.3265
T10SGF_2018_0_1,T10SGF,True,20387,1.691
T10TEK_2018_9_8,T10TEK,True,43100,3.575
T10SGG_2018_8_1,T10SGG,True,15403,1.2776
T11SLV_2018_9_3,T11SLV,True,25271,2.0961
T10SFG_2018_0_7,T10SFG,True,15712,1.3032
T10SFH_2018_6_3,T10SFH,True,19311,1.6018
T10SGF_2018_4_9,T10SGF,True,64190,5.3243
T11SKV_2018_1_9,T11SKV,True,20801,1.7254
T11SKA_2018_6_1,T11SKA,True,23047,1.9117
T11SKV_2018_9_8,T11SKV,True,16484,1.3673
T10SFJ_2018_9_0,T10SFJ,True,23132,1.9187
T10SEH_2018_1_9,T10SEH,True,76636,6.3566
T10SEJ_2018_7_9,T10SEJ,True,26508,2.1987
T11SLV_2018_4_0,T11SLV,True,27752,2.3019
T10SGF_2018_5_4,T10SGF,True,19591,1.625
T10SFH_2018_7_2,T10SFH,True,10792,0.8952
T10SFJ_2018_9_2,T10SFJ,True,21230,1.7609
T10SFH_2018_8_3,T10SFH,True,25958,2.1531
T11SKV_2018_0_6,T11SKV,True,40439,3.3543
T10SFG_2018_2_8,T10SFG,True,30850,2.5589
T11SKA_2018_6_8,T11SKA,True,72625,6.024
T10SFG_2018_1_8,T10SFG,True,45099,3.7408
T11SKA_2018_8_5,T11SKA,True,20868,1.7309
T11SKA_2018_6_2,T11SKA,True,17512,1.4525
T11SKA_2018_7_2,T11SKA,True,19812,1.6433
T11SKV_2018_5_7,T11SKV,True,31296,2.5959
T11SLV_2018_6_0,T11SLV,True,51225,4.2489
T10SGF_2018_8_5,T10SGF,True,25570,2.1209
T10SEJ_2018_7_8,T10SEJ,True,17138,1.4215
T10SEJ_2018_1_7,T10SEJ,True,20622,1.7105
T10SFJ_2018_8_0,T10SFJ,True,28064,2.3278
T11SKA_2018_3_0,T11SKA,True,29035,2.4083
T11SKV_2018_0_9,T11SKV,True,24755,2.0533
T11SKA_2018_6_0,T11SKA,True,21216,1.7598
T10SFH_2018_6_2,T10SFH,True,20722,1.7188
T11SKA_2018_6_3,T11SKA,True,33195,2.7534
T11SKA_2018_8_2,T11SKA,True,20064,1.6642
T11SKV_2018_3_9,T11SKV,True,29316,2.4316
T10SFG_2018_6_9,T10SFG,True,15078,1.2507
T10SFH_2018_0_2,T10SFH,True,21537,1.7864
T11SKA_2018_9_5,T11SKA,True,20882,1.7321
T10SGF_2018_7_6,T10SGF,True,21244,1.7621
T10SFJ_2018_5_2,T10SFJ,True,25893,2.1477
T10SFH_2018_4_2,T10SFH,True,26080,2.1632
T11SKA_2018_2_3,T11SKA,True,57751,4.7902
T10SEJ_2018_2_7,T10SEJ,True,15421,1.2791
T10SEJ_2018_2_5,T10SEJ,True,15806,1.311
T11SKA_2018_2_2,T11SKA,True,48809,4.0485
T11SKA_2018_4_5,T11SKA,True,45315,3.7587
T11SKV_2018_4_2,T11SKV,True,21882,1.815
T10TEK_2018_6_6,T10TEK,True,41050,3.4049
T10TEK_2018_8_6,T10TEK,True,24457,2.0286
T10SEJ_2018_5_8,T10SEJ,True,16370,1.3578
T11SKA_2018_2_6,T11SKA,True,51380,4.2618
T10SGF_2018_0_3,T10SGF,True,24302,2.0158
T10SFH_2018_5_4,T10SFH,True,53424,4.4313
T10SFH_2018_3_0,T10SFH,True,62168,5.1566
T11SKV_2018_5_9,T11SKV,True,24122,2.0008
T10SFG_2018_8_9,T10SFG,True,22128,1.8354
T10SFG_2018_4_5,T10SFG,True,33221,2.7555
T10SGF_2018_7_7,T10SGF,True,54707,4.5377
T11SKA_2018_3_4,T11SKA,True,63799,5.2919
T10SFH_2018_9_5,T10SFH,True,39901,3.3096
T10SGF_2018_7_9,T10SGF,True,33786,2.8024
T11SKA_2018_9_6,T11SKA,True,42520,3.5269
T11SKA_2018_8_1,T11SKA,True,24477,2.0303
T10SEJ_2018_1_8,T10SEJ,True,9365,0.7768
T10SEJ_2018_1_6,T10SEJ,True,16672,1.3829
T11SKA_2018_7_1,T11SKA,True,14508,1.2034
T10SEJ_2018_0_6,T10SEJ,True,29101,2.4138
T10SGF_2018_2_1,T10SGF,True,15963,1.3241
T10SEH_2018_1_1,T10SEH,True,19906,1.6511
T10SFH_2018_5_5,T10SFH,True,25079,2.0802
T10SFG_2018_2_6,T10SFG,True,112706,9.3485
T10SFJ_2018_3_0,T10SFJ,True,13519,1.1213
T10SFG_2018_8_7,T10SFG,True,23070,1.9136
T10SFG_2018_0_6,T10SFG,True,20297,1.6836
T10SFJ_2018_7_2,T10SFJ,True,34437,2.8564
T10SGG_2018_7_1,T10SGG,True,12469,1.0343
T11SKA_2018_8_3,T11SKA,True,54836,4.5484
T10SEH_2018_1_8,T10SEH,True,23083,1.9146
T11SKA_2018_7_4,T11SKA,True,47413,3.9327
T10SGG_2018_9_2,T10SGG,True,10232,0.8487
T10SGF_2018_1_1,T10SGF,True,17901,1.4848
T10SGF_2018_6_8,T10SGF,True,49226,4.0831
T10SGF_2018_6_7,T10SGF,True,39977,3.3159
T10SFG_2018_3_5,T10SFG,True,19022,1.5778
T10SFG_2018_1_2,T10SFG,True,41408,3.4346
T10SGF_2018_1_2,T10SGF,True,24976,2.0717
T10SFJ_2018_8_1,T10SFJ,True,20569,1.7061
T10SGF_2018_8_8,T10SGF,True,18713,1.5522
T10SEH_2018_0_9,T10SEH,True,22532,1.8689
T10SEJ_2018_2_6,T10SEJ,True,32009,2.655
T10SFH_2018_9_7,T10SFH,True,13385,1.1102
T11SKA_2018_1_1,T11SKA,True,30714,2.5476
T11SLV_2018_1_0,T11SLV,True,22156,1.8378
T11SKA_2018_9_9,T11SKA,True,24123,2.0009
T10SFG_2018_3_7,T10SFG,True,87787,7.2816
T10SGF_2018_7_5,T10SGF,True,18051,1.4973
T10SGF_2018_5_5,T10SGF,True,20508,1.7011
T10SGF_2018_8_7,T10SGF,True,52935,4.3907
T10SEJ_2018_6_9,T10SEJ,True,21230,1.7609
T10TEK_2018_9_7,T10TEK,True,24639,2.0437
T11SKV_2018_5_5,T11SKV,True,28023,2.3244
T10SFJ_2018_6_1,T10SFJ,True,73478,6.0947
T10SFG_2018_9_8,T10SFG,True,23550,1.9534
T10TEK_2018_9_5,T10TEK,True,18723,1.553
T11SKV_2018_6_7,T11SKV,True,26586,2.2052
T11SKA_2018_1_0,T11SKA,True,23769,1.9715
T10SFJ_2018_8_3,T10SFJ,True,15955,1.3234
T10SGG_2018_9_0,T10SGG,True,23003,1.908
T10SGG_2018_8_3,T10SGG,True,38519,3.195
T10SGF_2018_6_3,T10SGF,True,15023,1.2461
T11SKA_2018_3_8,T11SKA,True,17149,1.4224
T10SGF_2018_3_3,T10SGF,True,23491,1.9485
T10SFG_2018_8_8,T10SFG,True,47358,3.9282
T10SFG_2018_0_2,T10SFG,True,16293,1.3514
T11SLV_2018_2_0,T11SLV,True,22044,1.8285
T11SKV_2018_9_9,T11SKV,True,25614,2.1246
T10SFJ_2018_7_0,T10SFJ,True,27139,2.2511
T10SFG_2018_4_8,T10SFG,True,83056,6.8892
T11SKV_2018_4_8,T11SKV,True,34576,2.8679
T10SFJ_2018_6_2,T10SFJ,True,53575,4.4438
T11SKA_2018_8_0,T11SKA,True,29550,2.4511
T10SEH_2018_3_4,T10SEH,True,41566,3.4477
T11SKA_2018_8_8,T11SKA,True,69368,5.7538
T11SKA_2018_8_4,T11SKA,True,24296,2.0153
T10SFG_2018_4_9,T10SFG,True,23743,1.9694
T11SKV_2018_1_8,T11SKV,True,30284,2.5119
T10SFH_2018_5_2,T10SFH,True,23024,1.9097
T11SKV_2018_5_8,T11SKV,True,32474,2.6936
T11SKV_2018_3_3,T11SKV,True,20008,1.6596
T10TEK_2018_8_7,T10TEK,True,15921,1.3206
T11SKV_2018_1_5,T11SKV,True,19282,1.5994
T10SFH_2018_0_0,T10SFH,True,23594,1.957
T10SFH_2018_1_0,T10SFH,True,81465,6.7572
T10SFH_2018_7_1,T10SFH,True,16644,1.3806
T11SKV_2018_6_6,T11SKV,True,27693,2.297
T11SLV_2018_8_0,T11SLV,True,55079,4.5686
T11SKA_2018_4_0,T11SKA,True,31944,2.6496
T10SFH_2018_9_3,T10SFH,True,14291,1.1854
T10SFJ_2018_8_2,T10SFJ,True,21357,1.7715
T10SGG_2018_4_1,T10SGG,True,16728,1.3875
T10SFH_2018_6_4,T10SFH,True,41973,3.4815
T10SFG_2018_2_5,T10SFG,True,53699,4.4541
T11SKA_2018_5_1,T11SKA,True,18994,1.5755
T10SGG_2018_8_5,T10SGG,True,23882,1.9809
T11SLV_2018_2_1,T11SLV,True,22985,1.9065
T10SGG_2018_6_2,T10SGG,True,66839,5.544
T10SEJ_2018_2_8,T10SEJ,True,11431,0.9482
T10TEK_2018_7_7,T10TEK,True,11909,0.9878
T10SFJ_2018_7_3,T10SFJ,True,33413,2.7715
T10SEJ_2018_5_6,T10SEJ,True,17062,1.4152
T10SGG_2018_9_5,T10SGG,True,84887,7.041
T10SFJ_2018_4_0,T10SFJ,True,18412,1.5272
T11SKV_2018_2_9,T11SKV,True,22331,1.8523
T10SGF_2018_4_6,T10SGF,True,23017,1.9092
T10SEH_2018_2_8,T10SEH,True,20026,1.6611
T11SKA_2018_0_2,T11SKA,True,84995,7.05
T10SGF_2018_3_7,T10SGF,True,43370,3.5974
T11SKA_2018_8_6,T11SKA,True,26949,2.2353
T11SKA_2018_1_3,T11SKA,True,51244,4.2505
T10SEJ_2018_6_6,T10SEJ,True,44155,3.6625
T10SFG_2018_1_6,T10SFG,True,41952,3.4797
T10SFG_2018_2_4,T10SFG,True,19135,1.5872
T10SEJ_2018_8_9,T10SEJ,True,27746,2.3014
T10SGF_2018_1_4,T10SGF,True,26440,2.1931
T10SGG_2018_7_3,T10SGG,True,27028,2.2419
T10SGG_2018_9_6,T10SGG,True,30622,2.54
T10SEH_2018_4_9,T10SEH,True,39410,3.2689
T10SFH_2018_8_5,T10SFH,True,35945,2.9815
T10SGF_2018_6_9,T10SGF,True,70089,5.8136
T11SKA_2018_9_2,T11SKA,True,32520,2.6974
T10SFG_2018_5_9,T10SFG,True,44921,3.726
T10SGG_2018_5_1,T10SGG,True,50828,4.216
T10SGG_2018_6_3,T10SGG,True,28210,2.3399
T10SEH_2018_4_5,T10SEH,True,32734,2.7152
T11SKV_2018_0_3,T11SKV,True,12415,1.0298
T11SKA_2018_3_5,T11SKA,True,59266,4.9159
T11SLV_2018_9_2,T11SLV,True,25772,2.1377
T11SKV_2018_4_7,T11SKV,True,25284,2.0972
T11SKA_2018_2_1,T11SKA,True,29801,2.4719
T10SGF_2018_6_6,T10SGF,True,22497,1.866
T11SKA_2018_2_0,T11SKA,True,20288,1.6828
T10SGF_2018_3_8,T10SGF,True,60734,5.0376
T10SGG_2018_2_0,T10SGG,True,10874,0.902
T10SEH_2018_3_8,T10SEH,True,46416,3.85
T10SEJ_2018_3_9,T10SEJ,True,10669,0.885
T10SEJ_2018_8_7,T10SEJ,True,20479,1.6987
T10SFH_2018_6_5,T10SFH,True,37280,3.0922
T10SFG_2018_0_3,T10SFG,True,15462,1.2825
T10SFJ_2018_3_1,T10SFJ,True,32491,2.695
T11SKV_2018_0_4,T11SKV,True,16178,1.3419
T11SKA_2018_9_3,T11SKA,True,12126,1.0058
T11SKV_2018_0_2,T11SKV,True,34070,2.826
T10TEK_2018_8_8,T10TEK,True,40579,3.3659
T10SFG_2018_1_5,T10SFG,True,87291,7.2404
T10SEH_2018_0_8,T10SEH,True,21532,1.786
T11SKA_2018_5_2,T11SKA,True,21650,1.7958
TOTAL,367/367 tiles with OSM mask,,11397162,2.5759
